name,location,type,resort,visited,ratingHeather,ratingMatt
Todd English's bluezoo,Walt Disney World Dolphin Hotel,Table Service,WDW,FALSE,0,0
"Toledo - Tapas, Steak & Seafood",Disney's Coronado Springs Resort,Table Service,WDW,FALSE,0,0
Tony's Town Square Restaurant,Magic Kingdom Park,Table Service,WDW,FALSE,0,0
Topolino's Terrace - Flavors of the Riviera,Disney's Riviera Resort,Table Service,WDW,FALSE,0,0
Tortuga Tavern,Magic Kingdom Park,Quick Service,WDW,TRUE,2.5,3
Trail's End Restaurant,The Campsites at Disney's Fort Wilderness Resort,Quick Service,WDW,FALSE,0,0
Trattoria al Forno,Disney's BoardWalk,Table Service,WDW,FALSE,0,0
Tusker House Restaurant,Disney's Animal Kingdom Theme Park,Table Service,WDW,FALSE,0,0
Tutto Italia Ristorante,EPCOT,Table Service,WDW,FALSE,0,0
Typhoon Tilly's,Disney's Typhoon Lagoon Water Park,Quick Service,WDW,FALSE,0,0
Via Napoli Ristorante e Pizzeria,EPCOT,Table Service,WDW,TRUE,4.5,5
Whispering Canyon cafe,Disney's Wilderness Lodge,Table Service,WDW,FALSE,0,0
Wine Bar George - A Resturant & Bar,Disney Springs,Table Service,WDW,FALSE,0,0
Wolfgang Puck Bar & Grill,Disney Springs,Table Service,WDW,FALSE,0,0
Woody's Lunch Box,Disney's Hollywood Studios,Quick Service,WDW,FALSE,0,0
World Premiere Food Court,Disney's All-Star Movies Resort,Quick Service,WDW,FALSE,0,0
Yachtsman Steakhouse,Disney's Yacht Club Resort,Table Service,WDW,FALSE,0,0
Yak & Yeti™ Restaurant,Disney's Animal Kingdom Theme Park,Table Service,WDW,TRUE,5,5
YeSake Kiosk,Disney Springs,Quick Service,WDW,FALSE,0,0
Yorkshire County Fish Shop,EPCOT,Quick Service,WDW,TRUE,5,2
